DomainLabel	nMuts	nGenes	pfam	Description
SH3_Abi1	2	1	cd11971	Src homology 3 domain of Abl Interactor 1
SH3_DLG3	2	1	cd12029	Src Homology 3 domain of Disks Large homolog 3
SH3_DOCK1_5_A	2	1	cd12051	Src Homology 3 domain of Class A Dedicator of Cytokinesis proteins 1 and 5
SH3_Eps8	2	2	cd11764	Src Homology 3 domain of Epidermal growth factor receptor kinase substrate 8 and similar proteins
SH3_Intersectin2_1	2	1	cd11988	First Src homology 3 domain (or SH3A) of Intersectin-2
SH3_MPP4	2	1	cd12034	Src Homology 3 domain of Membrane Protein, Palmitoylated 4 (or MAGUK p55 subfamily member 4)
SH3_PEX13_eumet	2	1	cd11864	Src Homology 3 domain of eumetazoan Peroxisomal biogenesis factor 13
SH3_Sorbs2_2	2	1	cd11923	Second Src Homology 3 domain of Sorbin and SH3 domain containing 2 (Sorbs2), also called Arg-binding protein 2 (ArgBP2)
SH3_and_anchor	2	2	TIGR04211	SH3 domain protein
SIM_C	2	1	pfam06621	Single-minded protein C-terminus
SLC5sbd_SMCT2	2	1	solute-binding domain	Na(+)/monocarboxylate cotransporter SMCT2 and related proteins
SLC6sbd_DAT1	2	1	solute-binding domain	Na(+)- and Cl(-)-dependent dopamine transporter 1
SLC6sbd_GAT1	2	1	solute-binding domain	Na(+)- and Cl(-)-dependent GABA transporter 1
SLC6sbd_NTT5	2	1	solute-binding domain	Neurotransmitter transporter 5
SNAP-25	2	2	pfam00835	SNAP-25 family
SNc	2	1	smart00318	Staphylococcal nuclease homologues
SOUL	2	1	pfam04832	SOUL heme-binding protein
SPS1	2	1	COG0515	Serine/threonine protein kinase [General function prediction only / Signal transduction mechanisms / Transcription / DNA replication, recombination, and repair]
SSDP	2	1	pfam04503	Single-stranded DNA binding protein, SSDP
START_STARD15-like	2	1	cd08914	Lipid-binding START domain of mammalian STARD15 and related proteins
STAT_int	2	2	smart00964	STAT protein, protein interaction domain
STKc_CDK12	2	1	cd07864	Catalytic domain of the Serine/Threonine Kinase, Cyclin-Dependent protein Kinase 12
STKc_CDK8	2	1	cd07868	Catalytic domain of the Serine/Threonine Kinase, Cyclin-Dependent protein Kinase 8
STKc_CDKL1_4	2	2	cd07847	Catalytic domain of the Serine/Threonine Kinases, Cyclin-Dependent protein Kinase Like 1 and 4
STKc_ERK1_2_like	2	2	cd07849	Catalytic domain of Extracellular signal-Regulated Kinase 1 and 2-like Serine/Threonine Kinases
STKc_MEKK4	2	1	cd06626	Catalytic domain of the Protein Serine/Threonine Kinase, MAP/ERK kinase kinase 4
STKc_MSK1_N	2	1	cd05613	N-terminal catalytic domain of the Protein Serine/Threonine Kinase, Mitogen and stress-activated kinase 1
STKc_MST3_like	2	1	cd06609	Catalytic domain of Mammalian Ste20-like protein kinase 3-like Protein Serine/Threonine Kinases
STKc_Nek1	2	1	cd08218	Catalytic domain of the Protein Serine/Threonine Kinase, Never In Mitosis gene A-related kinase 1
STKc_Nek6_Nek7	2	2	cd08224	Catalytic domain of the Protein Serine/Threonine Kinases, Never In Mitosis gene A-related kinase 6 and 7
STKc_OSR1_SPAK	2	2	cd06610	Catalytic domain of the Protein Serine/Threonine Kinases, Oxidative stress response kinase and Ste20-related proline alanine-rich kinase
STKc_PFTAIRE1	2	1	cd07869	Catalytic domain of the Serine/Threonine Kinase, PFTAIRE-1 kinase
STKc_PKB	2	1	cd05571	Catalytic domain of the Protein Serine/Threonine Kinase, Protein Kinase B
STKc_TAO	2	2	cd06607	Catalytic domain of the Protein Serine/Threonine Kinase, Thousand-and-one amino acids proteins
STKc_cPKC	2	2	cd05587	Catalytic domain of the Protein Serine/Threonine Kinase, Classical Protein Kinase C
SWAP	2	2	smart00648	Suppressor-of-White-APricot splicing regulator
Sar1	2	2	cd00879	Sar1 is an essential component of COPII vesicle coats
Sas10_Utp3	2	2	pfam04000	Sas10/Utp3/C1D family
Sec10	2	1	pfam07393	Exocyst complex component Sec10
Secretoglobin	2	2	cd00633	Secretoglobins are relatively small, secreted, disulphide-bridged dimeric proteins with encoding genes sharing substantial sequence similarity. Their family subunits may be grouped into five subfamilies, A-E. Uteroglobin (subfamily A), which is identical...
Sema_3F	2	1	cd11254	The Sema domain, a protein interacting module, of semaphorin 3F (Sema3F)
Sema_4B	2	1	cd11257	The Sema domain, a protein interacting module, of semaphorin 4B (Sema4B)
Sema_5B	2	1	cd11264	The Sema domain, a protein interacting module, of semaphorin 5B (Sema5B)
Sema_6A	2	1	cd11266	The Sema domain, a protein interacting module, of semaphorins 6A (Sema6A)
Sema_plexin_A2	2	1	cd11272	The Sema domain, a protein interacting module, of Plexin A2
Serinc	2	1	pfam03348	Serine incorporator (Serinc)
Serine_rich_CASS4	2	1	a protein interaction module	Serine rich Four helix bundle domain of CAS (Crk-Associated Substrate) scaffolding protein family member 4
SnAPC_2_like	2	1	pfam11035	Small nuclear RNA activating complex subunit 2-like
Sorting_nexin	2	1	pfam03700	Sorting nexin, N-terminal domain
Spatacsin_C	2	1	NA	NA
Spindle_Spc25	2	1	pfam08234	Chromosome segregation protein Spc25
Spond_N	2	2	pfam06468	Spondin_N
Striatin	2	1	pfam08232	Striatin family
Sun	2	2	COG0144	tRNA and rRNA cytosine-C5-methylases [Translation, ribosomal structure and biogenesis]
Synaptobrevin	2	2	pfam00957	Synaptobrevin
Syndecan	2	1	pfam01034	Syndecan domain
Syntaxin	2	1	pfam00804	Syntaxin
Syntaxin-6_N	2	1	pfam09177	Syntaxin 6, N-terminal
Synuclein	2	2	pfam01387	Synuclein
TAF4	2	1	cl05005	TATA Binding Protein (TBP) Associated Factor 4 (TAF4) is one of several TAFs that bind TBP and is involved in forming Transcription Factor IID (TFIID) complex
TB	2	2	pfam00683	TB domain
TCP1_beta	2	1	cd03336	TCP-1 (CTT or eukaryotic type II) chaperonin family, beta subunit. Chaperonins are involved in productive folding of proteins. They share a common general morphology, a double toroid of 2 stacked rings. In contrast to bacterial group I chaperonins (GroEL)...
TCP1_gamma	2	1	cd03337	TCP-1 (CTT or eukaryotic type II) chaperonin family, gamma subunit. Chaperonins are involved in productive folding of proteins. They share a common general morphology, a double toroid of 2 stacked rings. In contrast to bacterial group I chaperonins
TCP1_zeta	2	1	cd03342	TCP-1 (CTT or eukaryotic type II) chaperonin family, zeta subunit. Chaperonins are involved in productive folding of proteins. They share a common general morphology, a double toroid of 2 stacked rings. In contrast to bacterial group I chaperonins (GroEL)...
TEL1	2	1	COG5032	Phosphatidylinositol kinase and protein kinases of the PI-3 kinase family [Signal transduction mechanisms / Cell division and chromosome partitioning / Chromatin structure and dynamics / DNA replication, recombination, and repair / Intracellular...
TFIIS_I	2	1	similar to a domain found in elongin A and CRSP70	N-terminal domain (domain I) of transcription elongation factor S-II (TFIIS)
TIG	2	2	pfam01833	IPT/TIG domain
TIGR00376	2	1	NA	DNA helicase, putative
TIM_phosphate_binding	2	1	cl09108	TIM barrel proteins share a structurally conserved phosphate binding motif and in general share an eight beta/alpha closed barrel structure. Specific for this family is the conserved phosphate binding site at the edges of strands 7 and 8. The phosphate...
TLP_Transthyretin	2	1	cd05821	Transthyretin (TTR) is a 55 kDa protein responsible for the transport of thyroid hormones and retinol in vertebrates.  TTR distributes the two thyroid hormones T3 (3,5,3'-triiodo-L-thyronine) and T4 (Thyroxin, or 3,5,3',5'-tetraiodo-L-thyronine), as well...
TMC	2	1	pfam07810	TMC domain
TMEM101	2	1	NA	NA
TMEM117	2	1	NA	NA
TMEM156	2	1	NA	NA
TROVE	2	1	pfam05731	TROVE domain
TSC22	2	1	cl01853	TSC-22/dip/bun family
TSGA13	2	1	NA	NA
TSPN	2	2	smart00210	Thrombospondin N-terminal -like domains
TY	2	2	The N-terminal region of human thyroglobulin contains 11 type-1 repeats TY repeats are proposed to be inhibitors of cysteine proteases	Thyroglobulin type I repeats.
Thr-synth_2	2	1	cd01560	Threonine synthase catalyzes the final step of threonine biosynthesis. The conversion of O-phosphohomoserine into threonine and inorganic phosphate is pyridoxal 5'-phosphate dependent. The Thr-synth_1 CD includes members from higher plants, cyanobacteria
Titin_Z	2	1	pfam09042	Titin Z
Tmemb_161AB	2	1	pfam10268	Predicted transmembrane protein 161AB
Tmemb_9	2	1	pfam05434	TMEM9
Tmp39	2	1	pfam10271	Putative transmembrane protein
Transferrin	2	2	pfam00405	Transferrin
Transglut_N	2	2	pfam00868	Transglutaminase family
Trp-synth-beta_II	2	1	this family of pyridoxal phosphate (PLP)-dependent enzymes catalyzes beta-replacement and beta-elimination reactions. This CD corresponds to aminocyclopropane-1-carboxylate deaminase (ACCD), tryptophan...	Tryptophan synthase beta superfamily (fold type II)
Trp_5_monoox	2	2	TIGR01270	tryptophan 5-monooxygenase, tetrameric
Tuberin	2	1	pfam03542	Tuberin
Tweety_N	2	2	cl12141	N-terminal domain of the protein encoded by the Drosophila tweety gene and related proteins, a family of chloride ion channels
Tyrosinase	2	2	pfam00264	Common central domain of tyrosinase
UDP-g_GGTase	2	1	pfam06427	UDP-glucose:Glycoprotein Glucosyltransferase
UFD2	2	1	COG5113	Ubiquitin fusion degradation protein 2 [Posttranslational modification, protein turnover, chaperones]
UPAR_LY6	2	2	pfam00021	u-PAR/Ly-6 domain
Urm1	2	1	pfam09138	Urm1 (Ubiquitin related modifier)
Urocanase	2	1	pfam01175	Urocanase
UshA	2	1	COG0737	5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases [Nucleotide transport and metabolism]
Utp12	2	1	pfam04003	Dip2/Utp12 Family
V-ATPase_G	2	2	pfam03179	Vacuolar (H+)-ATPase G subunit
VHS_STAM	2	1	members include STAM (Signal Transducing Adaptor Molecule), EAST (EGFR-associated protein with SH3 and TAM domains) and Hbp (Hrs-binding protein). Collectively, they are referred to as STAM. All STAMs have at their...	VHS domain family, STAM subfamily
VIT	2	2	cl02699	Vault protein inter-alpha-trypsin domain
VLCAD	2	1	cd01161	Very long chain acyl-CoA dehydrogenase
VRG4	2	2	COG5070	Nucleotide-sugar transporter [Carbohydrate transport and metabolism / Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion]
VWA_N	2	2	pfam08399	VWA N-terminal
Vps35	2	1	pfam03635	Vacuolar protein sorting-associated protein 35
Vps39_1	2	1	pfam10366	Vacuolar sorting protein 39 domain 1
XTALbg	2	2	smart00247	Beta/gamma crystallins
Yip1	2	2	pfam04893	Yip1 domain
YjeF_N	2	2	cl00318	YjeF-related protein N-terminus
ZU5	2	2	smart00218	Domain present in ZO-1 and Unc5-like netrin receptors
Zfx_Zfy_act	2	2	pfam04704	Zfx / Zfy transcription activation region
ZnF_TTF	2	2	smart00597	zinc finger in transposases and transcription factors
ac_ac_CoA_syn	2	1	TIGR01217	acetoacetyl-CoA synthase
aeEF2_snRNP_like_IV	2	1	cd01681	This family represents domain IV of archaeal and eukaryotic elongation factor 2 (aeEF-2) and of an evolutionarily conserved U5 snRNP-specific protein. U5 snRNP is a GTP-binding factor closely related to the ribosomal translocase EF-2. In complex with GTP
allantoicase	2	1	TIGR02961	allantoicase
alpha_hydroxyacid_oxid_FMN	2	1	cd02809	Family of homologous FMN-dependent alpha-hydroxyacid oxidizing enzymes. This family occurs in both prokaryotes and eukaryotes. Members of this family include flavocytochrome b2 (FCB2), glycolate oxidase (GOX), lactate monooxygenase (LMO), mandelate...
alternative start codon	2	2	NA	NA
bZIP_Maf	2	2	pfam03131	bZIP Maf transcription factor
bcl-2	2	2	TIGR00865	apoptosis regulator
biotinidase_like	2	1	cd07567	biotinidase and vanins (class 4 nitrilases)
cPLA2_Grp-IVB-IVD-IVE-IVF	2	2	catalytic domain	Group IVB, IVD, IVE, and IVF cytosolic phospholipase A2
carnitine_TMLD	2	1	TIGR02410	trimethyllysine dioxygenase
carnitine_bodg	2	1	TIGR02409	gamma-butyrobetaine hydroxylase
class_II_aaRS-like_core	2	1	cl00268	Class II tRNA amino-acyl synthetase-like catalytic core domain. Class II amino acyl-tRNA synthetases (aaRS) share a common fold and generally attach an amino acid to the 3' OH of ribose of the appropriate tRNA.   PheRS is an exception in that it attaches...
coagulation factor V heavy chain	2	1	NA	NA
creatine_kinase_like	2	1	cd00716	Phosphagen (guanidino) kinases such as creatine kinase and similar enzymes
crotonase-like	2	2	cd06558	Crotonase/Enoyl-Coenzyme A (CoA) hydratase superfamily. This superfamily contains a diverse set of enzymes including enoyl-CoA hydratase, napthoate synthase, methylmalonyl-CoA decarboxylase, 3-hydoxybutyryl-CoA dehydratase, and dienoyl-CoA isomerase
csdA	2	1	COG0520	Selenocysteine lyase/Cysteine desulfurase [Posttranslational modification, protein turnover, chaperones]
cytoplasmic domain	2	1	NA	NA
dnl1	2	2	TIGR00574	DNA ligase I, ATP-dependent (dnl1)
dsrm	2	1	pfam00035	Double-stranded RNA binding motif
dual_peroxidase_like	2	1	cd09820	Dual oxidase and related animal heme peroxidases
efhand_like	2	2	pfam09279	Phosphoinositide-specific phospholipase C, efhand-like
flhF	2	1	Validated	flagellar biosynthesis regulator FlhF
gelsolin_S1_like	2	2	cd11290	Gelsolin sub-domain 1-like domain found in gelsolin, severin, villin, and related proteins
gelsolin_like	2	2	cd11280	Tandemly repeated domains found in gelsolin, severin, villin, and related proteins
guaA	2	1	Reviewed	GMP synthase
hSac2	2	1	pfam12456	Inositol phosphatase
ku70	2	1	TIGR00578	ATP-dependent DNA helicase II, 70 kDa subunit (ku70)
lon	2	1	TIGR00763	ATP-dependent protease La
mam_aldehyde_ox	2	1	TIGR02969	aldehyde oxidase
marine_srt_targ	2	1	TIGR03788	marine proteobacterial sortase target protein
metH	2	1	Provisional	B12-dependent methionine synthase
metallo-dependent_hydrolases	2	1	cl00281	Superfamily of metallo-dependent hydrolases (also called amidohydrolase superfamily) is a large group of proteins that show conservation in their 3-dimensional fold (TIM barrel) and in details of their active site. The vast majority of the members have a...
misato	2	1	cd06060	Human Misato shows similarity with Tubulin/FtsZ family of GTPases and is localized to the the outer membrane of mitochondria. It has a role in mitochondrial fusion and in mitochondrial distribution and morphology. Mutations in its Drosophila homolog
mit_SMPDase	2	1	NA	NA
myeloperoxidase_like	2	2	cd09824	Myeloperoxidases, eosinophil peroxidases, and lactoperoxidases
nupC	2	2	TIGR00804	nucleoside transporter
ogg	2	1	TIGR00588	8-oxoguanine DNA-glycosylase (ogg)
parp_like	2	2	cd01437	Poly(ADP-ribose) polymerase (parp) catalytic domain catalyses the covalent attachment of ADP-ribose units from NAD+ to itself and to a limited number of other DNA binding proteins,  which decreases their affinity for DNA. Poly(ADP-ribose) polymerase is a...
prfA	2	1	Validated	peptide chain release factor 1
prostaglandin_endoperoxide_synthase	2	1	cd09816	Animal prostaglandin endoperoxide synthase and related bacterial proteins
proteasome_beta_type_5	2	2	cd03761	proteasome beta type-5 subunit. The 20S proteasome, multisubunit proteolytic complex, is the central enzyme of nonlysosomal protein degradation in both the cytosol and nucleus. It is composed of 28 subunits arranged as four homoheptameric rings that...
protein kinase C binding domain	2	1	NA	NA
purH	2	1	TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
pyrD_sub2	2	1	TIGR01036	dihydroorotate dehydrogenase, subfamily 2
rad1	2	1	TIGR00596	DNA repair protein (rad1)
rad18	2	1	TIGR00599	DNA repair protein rad18
radA	2	1	Validated	DNA repair and recombination protein RadA
recomb_radA	2	1	TIGR02236	DNA repair and recombination protein RadA
renin_like	2	1	cd05487	Renin stimulates production of angiotensin and thus affects blood pressure
rfc	2	2	Reviewed	replication factor C small subunit
ribokinase	2	1	cd01174	Ribokinase catalyses the phosphorylation of ribose to ribose-5-phosphate using ATP. This reaction is the first step in the ribose metabolism. It traps ribose within the cell after uptake and also prepares the sugar for use in the synthesis of nucleotides...
rimK_fam	2	1	TIGR00768	alpha-L-glutamate ligases, RimK family
sopT	2	2	TIGR00339	ATP sulphurylase
spectrin-like triple coiled-coil repeat	2	1	NA	NA
sucC	2	1	Provisional	succinyl-CoA synthetase subunit beta
triple-helical domain	2	1	NA	NA
trmE	2	1	Reviewed	tRNA modification GTPase TrmE
tyr_amTase_E	2	1	TIGR01264	tyrosine aminotransferase, eukaryotic
vWA_VGCC_like	2	2	cd01463	VWA Voltage gated Calcium channel like: Voltage-gated calcium channels are a complex of five proteins: alpha 1, beta 1, gamma, alpha 2 and delta. The alpha 2 and delta subunits result from proteolytic processing of a single gene product and carries at...
vWA_copine_like	2	2	cd01459	VWA Copine: Copines are phospholipid-binding proteins originally identified in paramecium. They are found in human and orthologues have been found in C. elegans and Arabidopsis Thaliana. None have been found in D. Melanogaster or S. Cereviciae
vWA_midasin	2	1	cd01460	VWA_Midasin: Midasin is a member of the AAA ATPase family. The proteins of this family are unified by their common archetectural organization that is based upon a conserved ATPase domain. The AAA domain of midasin contains six tandem AAA protomers. The...
zf-A20	2	1	pfam01754	A20-like zinc finger
zf-C2H2_2	2	2	pfam12756	C2H2 type zinc-finger (2 copies)
zf-C2H2_6	2	2	pfam13912	C2H2-type zinc finger
zf-HC5HC2H_2	2	2	pfam13832	PHD-zinc-finger like domain
zf-HIT	2	2	pfam04438	HIT zinc finger
zf-MYND	2	1	pfam01753	MYND finger
zinc finger	2	1	NA	NA
zwf	2	1	TIGR00871	glucose-6-phosphate 1-dehydrogenase
14-3-3_eta	1	1	cd10025	14-3-3 eta, an isoform of 14-3-3 protein
26Sp45	1	1	TIGR01242	26S proteasome subunit P45 family
2A060605	1	1	TIGR00920	3-hydroxy-3-methylglutaryl-coenzyme A reductase
2A1904	1	1	TIGR00927	K+-dependent Na+/Ca+ exchanger
2OG-FeII_Oxy_2	1	1	pfam13532	2OG-Fe(II) oxygenase superfamily
2a57	1	1	TIGR00939	Equilibrative Nucleoside Transporter (ENT)
5-nucleotidase	1	1	pfam06189	5'-nucleotidase
5_nucleotid	1	1	pfam05761	5' nucleotidase family
6PGL	1	1	6PGL catalyzes the second step of the oxidative phase of the pentose phosphate pathway, the hydrolyzation of 6-phosphoglucono-1,5-lactone (delta form) to 6-phosphogluconate. 6PGL is thought to guard...	6PGL: 6-Phosphogluconolactonase (6PGL) subfamily
A2M_recep	1	1	pfam07677	A-macroglobulin receptor
AAA_11	1	1	pfam13086	AAA domain
AAA_16	1	1	pfam13191	AAA ATPase domain
AAA_22	1	1	pfam13401	AAA domain
AAA_4	1	1	pfam04326	Divergent AAA domain
AAA_8	1	1	pfam12780	P-loop containing dynein motor region D4
AAK_P5CS_ProBA	1	1	cd04256	AAK_P5CS_ProBA: Glutamate-5-kinase (G5K) domain of the bifunctional delta 1-pyrroline-5-carboxylate synthetase (P5CS), composed of an N-terminal G5K (ProB) and a C-terminal glutamyl 5- phosphate reductase (G5PR, ProA), the first and second enzyme...
ABC1	1	1	pfam03109	ABC1 family
ABC_SMC5_euk	1	1	SMC proteins are large (approximately 110 to 170 kDa), and each is arranged into five recognizable domains.  Amino-acid sequence homology of SMC proteins between species is largely confined to the amino- and carboxy-terminal...	Eukaryotic SMC5 proteins
ABC_transp_aux	1	1	pfam09822	ABC-type uncharacterized transport system
ACE1-Sec16-like	1	1	cd09233	Ancestral coatomer element 1 (ACE1) of COPII coat complex assembly protein Sec16
ADF_GMF-beta_like	1	1	cd11283	ADF-homology domain of glia maturation factor beta and related proteins
ADF_cofilin_like	1	1	cd11286	Cofilin, Destrin, and related actin depolymerizing factors
ADF_drebrin_like	1	1	cd11281	ADF homology domain of drebrin and actin-binding protein 1 (abp1)
ADP_ribosyl	1	1	cd01341	ADP_ribosylating enzymes catalyze the transfer of ADP_ribose from NAD+ to substrates. Bacterial toxins are cytoplasmic and catalyze the transfer of a single ADP_ribose unit to eukaryotic elongation factor 2, halting protein synthesis and killing the cell
AGE	1	1	N-acyl-D-glucosamine 2-epimerase domain	AGE domain
AHSP	1	1	pfam09236	Alpha-haemoglobin stabilising protein
AIR1	1	1	COG5082	Arginine methyltransferase-interacting protein, contains RING Zn-finger [Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion]
AJAP1_PANP_C	1	1	NA	NA
AKAP7_NLS	1	1	pfam10469	AKAP7 2'5' RNA ligase-like domain
ALDH_F3AB	1	1	cd07132	Aldehyde dehydrogenase family 3 members A1, A2, and B1 and related proteins
ALS2CR8	1	1	NA	NA
AN1_N	1	1	cd01802	ubiquitin-like domain of AN1
ANTH_AP180_CALM	1	1	composed of adaptor protein 180 (AP180), clathrin assembly lymphoid myeloid leukemia protein (CALM) and similar proteins. A set of proteins previously designated as harboring an ENTH domain in fact contains a highly similar, yet...	ANTH domain family
AP-3_Mu3A_Cterm	1	1	cd09260	C-terminal domain of medium Mu3A subunit in ubiquitously expressed adaptor protein (AP) complex AP-3
AP-3_Mu3B_Cterm	1	1	cd09261	C-terminal domain of medium Mu3B subunit in neuron-specific adaptor protein (AP) complex AP-3
APC10	1	1	cd08366	APC10 subunit of the anaphase-promoting complex (APC) that mediates substrate ubiquitination
APC10-HERC2	1	1	cd08664	APC10-like DOC1 domain present in HERC2 (HECT domain and RLD2)
APG6	1	1	pfam04111	Autophagy protein Apg6
APG6_N	1	1	NA	NA
API5	1	1	pfam05918	Apoptosis inhibitory protein 5 (API5)
APPBP1_RUB	1	1	cd01493	Ubiquitin activating enzyme (E1) subunit APPBP1. APPBP1 is part of the heterodimeric activating enzyme (E1), specific for the Rub family of ubiquitin-like proteins (Ubls). E1 enzymes are part of a conjugation cascade to attach Ub or Ubls, covalently to...
APS2	1	1	COG5030	Clathrin adaptor complex, small subunit [Intracellular trafficking and secretion]
ARL2_Bind_BART	1	1	pfam11527	The ARF-like 2 binding protein BART
ARLTS1	1	1	cd04156	Arf-like tumor suppressor gene 1 (ARLTS1 or Arl11)
ASD1	1	1	pfam08688	Apx/Shroom domain ASD1
ASRGL1_like	1	1	cd04702	ASRGL1_like domains, a subfamily of the L-Asparaginase type 2-like enzymes. The wider family includes Glycosylasparaginase, Taspase 1 and L-Asparaginase type 2 enzymes. The proenzymes undergo autoproteolytic cleavage before a threonine to generate alpha...
ATH1	1	1	COG1554	Trehalose and maltose hydrolases (possible phosphorylases) [Carbohydrate transport and metabolism]
ATM1	1	1	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components [Posttranslational modification, protein turnover, chaperones]
ATP-cone	1	1	pfam03477	ATP cone domain
ATP-grasp_4	1	1	cl03087	ATP-grasp domain
ATP1G1_PLM_MAT8	1	1	pfam02038	ATP1G1/PLM/MAT8 family
A_thal_Cys_rich	1	1	TIGR01571	uncharacterized Cys-rich domain
Aamy_C	1	1	smart00632	Aamy_C domain
AbfB	1	1	pfam05270	Alpha-L-arabinofuranosidase B (ABFB)
Abhydro_lipase	1	1	pfam04083	Partial alpha/beta-hydrolase lipase region
Abhydrolase_1	1	1	pfam00561	alpha/beta hydrolase fold
Abhydrolase_2	1	1	pfam02230	Phospholipase/Carboxylesterase
Abhydrolase_3	1	1	pfam07859	alpha/beta hydrolase fold
Ac_CoA_lig_AcsA	1	1	TIGR02188	acetate--CoA ligase
AccC	1	1	COG0439	Biotin carboxylase [Lipid metabolism]
Acetyltransf_2	1	1	pfam00797	N-acetyltransferase
Acetyltransf_3	1	1	pfam13302	Acetyltransferase (GNAT) domain
Acidic region	1	1	NA	NA
AcnA_IRP	1	1	cd01586	Aconitase A catalytic domain
Ada	1	1	COG0350	Methylated DNA-protein cysteine methyltransferase [DNA replication, recombination, and repair]
Adenylsuccinate_lyase_2	1	1	cd03302	Adenylsuccinate lyase (ASL)_subgroup 2
Agmatinase_PAH	1	1	cd11592	Agmatinase-like family includes proclavaminic acid amidinohydrolase
AlaDh_PNT_N	1	1	pfam05222	Alanine dehydrogenase/PNT, N-terminal domain
AlaRS_core	1	1	cd00673	Alanyl-tRNA synthetase (AlaRS) class II core catalytic domain. AlaRS is a homodimer. It is responsible for the attachment of alanine to the 3' OH group of ribose of the appropriate tRNA. This domain is primarily responsible for ATP-dependent formation of...
Aldedh	1	1	pfam00171	Aldehyde dehydrogenase family
Alg14	1	1	pfam08660	Oligosaccharide biosynthesis protein Alg14 like
Alg6_Alg8	1	1	pfam03155	ALG6, ALG8 glycosyltransferase family
Alpha_adaptinC2	1	1	smart00809	Adaptin C-terminal domain
Alpha_kinase	1	1	smart00811	Alpha-kinase family
Alveol-reg_P311	1	1	pfam11092	Neuronal protein 3.1 (p311)
Amelin	1	1	pfam05111	Ameloblastin precursor (Amelin)
Amidohydro_4	1	1	pfam13147	Amidohydrolase
Amnionless	1	1	NA	NA
AmyAc_SLC3A2	1	1	cd11345	Alpha amylase catalytic domain found in solute carrier family 3 member 2 proteins
Angiomotin_C	1	1	pfam12240	Angiomotin C terminal
Ant_C	1	1	pfam05586	Anthrax receptor C-terminus region
Apc3	1	1	pfam12895	Anaphase-promoting complex, cyclosome, subunit 3
Ape1-like_AP-endo	1	1	cd09087	Human Ape1-like subfamily of the ExoIII family purinic/apyrimidinic (AP) endonucleases
Aph-1	1	1	pfam06105	Aph-1 protein
ApoM	1	1	pfam11032	Apolipoprotein M (ApoM)
Apt1	1	1	pfam10351	Golgi-body localisation protein domain
Arb2	1	1	pfam09757	Arb2 domain
ArgG	1	1	COG0137	Argininosuccinate synthase [Amino acid transport and metabolism]
ArgS	1	1	COG0018	Arginyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]
Arl4_Arl7	1	1	cd04152	Arf-like 4 (Arl4) and 7 (Arl7) GTPases
Arl5_Arl8	1	1	cd04153	Arf-like 5 (Arl5) and 8 (Arl8) GTPases
Arl9_Arfrp2_like	1	1	cd04162	Arf-like 9 (Arl9)/Arfrp2-like GTPase
Arv1	1	1	pfam04161	Arv1-like family
Arylesterase	1	1	pfam01731	Arylesterase
Asn_Synthase_B_C	1	1	cd01991	The C-terminal domain of Asparagine Synthase B. This domain is always found associated n-terminal amidotransferase domain. Family members that contain this domain catalyse the conversion of aspartate to asparagine. Asparagine synthetase B  catalyzes the...
Astacin	1	1	pfam01400	Astacin (Peptidase family M12A)
AtoD	1	1	COG1788	Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit [Lipid metabolism]
Auts2	1	1	NA	NA
B3_4	1	1	smart00873	B3/4 domain
B9-C2	1	1	pfam07162	Ciliary basal body-associated, B9 protein
BAAT_C	1	1	pfam08840	BAAT / Acyl-CoA thioester hydrolase C terminal
BAF	1	1	smart01023	Barrier to autointegration factor
BAH_BAHCC1	1	1	cd04714	BAH, or Bromo Adjacent Homology domain, as present in mammalian BAHCC1 and similar proteins. BAHCC1 stands for BAH domain and coiled-coil containing 1. BAH domains are found in a variety of proteins playing roles in transcriptional silencing and the...
BAH_MTA	1	1	cd04709	BAH, or Bromo Adjacent Homology domain, as present in MTA1 and similar proteins. The Metastasis-associated protein MTA1 is part of the NURD (nucleosome remodeling and deacetylating) complex and plays a role in cellular transformation and metastasis. BAH...
BAH_Orc1p_animal	1	1	cd04719	BAH, or Bromo Adjacent Homology domain, as present in animal homologs of Saccharomyces cerevisiae Orc1p. Orc1 is part of the Yeast Sir1-origin recognition complex. The Orc1p BAH doman functions in epigenetic silencing. In vertebrates, a similar ORC...
BAR_GAP10-like	1	1	cd07634	The Bin/Amphiphysin/Rvs (BAR) domain of Rho GTPase activating protein 10-like
BAR_GRAF	1	1	cd07636	The Bin/Amphiphysin/Rvs (BAR) domain of GTPase Regulator Associated with Focal adhesion kinase
BAR_SNX30	1	1	cd07667	The Bin/Amphiphysin/Rvs (BAR) domain of Sorting Nexin 30
BAR_SNX5_6	1	1	cd07621	The Bin/Amphiphysin/Rvs (BAR) domain of Sorting Nexins 5 and 6
BAR_SNX7	1	1	cd07666	The Bin/Amphiphysin/Rvs (BAR) domain of Sorting Nexin 7
BCAS2	1	1	pfam05700	Breast carcinoma amplified sequence 2 (BCAS2)
